Sexo    Compuesto    Concentracion  mV
Hembra  a-Pineno     10             6.94
Hembra  a-Pineno     10             7.11
Hembra  a-Pineno     10             7.57
Hembra  a-Pineno     10             6.26
Hembra  a-Pineno     10             8.13
Hembra  a-Pineno     10             9.21
Hembra  a-Pineno     10             9.17
Hembra  a-Pineno     10             9.8
Hembra  a-Pineno     10             9.67
Hembra  a-Pineno     10             10.55
Hembra  a-Pineno     1000           7.57
Hembra  a-Pineno     1000           8.2
Hembra  a-Pineno     1000           9.21
Hembra  a-Pineno     1000           9.006
Hembra  a-Pineno     1000           9.8
Hembra  a-Pineno     1000           9.92
Hembra  a-Pineno     1000           10.87
Hembra  a-Pineno     1000           11.21
Hembra  a-Pineno     1000           11.35
Hembra  a-Pineno     1000           11.14
Hembra  D-limoneno   10             11.87
Hembra  D-limoneno   10             12.06
Hembra  D-limoneno   10             11.45
Hembra  D-limoneno   10             11.55
Hembra  D-limoneno   10             11.2
Hembra  D-limoneno   10             11.39
Hembra  D-limoneno   10             11.18
Hembra  D-limoneno   10             11.3
Hembra  D-limoneno   10             11.38
Hembra  D-limoneno   10             11.8
Hembra  D-limoneno   1000           13.26
Hembra  D-limoneno   1000           12.19
Hembra  D-limoneno   1000           12.37
Hembra  D-limoneno   1000           12.58
Hembra  D-limoneno   1000           12.16
Hembra  D-limoneno   1000           11.93
Hembra  D-limoneno   1000           12.48
Hembra  D-limoneno   1000           11.93
Hembra  D-limoneno   1000           12.16
Hembra  D-limoneno   1000           12
Hembra  Mirceno      10             9.18
Hembra  Mirceno      10             7.94
Hembra  Mirceno      10             7.98
Hembra  Mirceno      10             8.33
Hembra  Mirceno      10             8.006
Hembra  Mirceno      10             8.02
Hembra  Mirceno      10             8.73
Hembra  Mirceno      10             8.29
Hembra  Mirceno      10             8.67
Hembra  Mirceno      10             9.11
Hembra  Mirceno      1000           10.04
Hembra  Mirceno      1000           10.1
Hembra  Mirceno      1000           9.79
Hembra  Mirceno      1000           9.91
Hembra  Mirceno      1000           10.46
Hembra  Mirceno      1000           10.82
Hembra  Mirceno      1000           10.06
Hembra  Mirceno      1000           9.96
Hembra  Mirceno      1000           10.33
Hembra  Mirceno      1000           10.5
Hembra  Globulol     10             12.33
Hembra  Globulol     10             12.16
Hembra  Globulol     10             12.58
Hembra  Globulol     10             12.8
Hembra  Globulol     10             13.76
Hembra  Globulol     10             11.79
Hembra  Globulol     10             12.56
Hembra  Globulol     10             12.63
Hembra  Globulol     10             12.77
Hembra  Globulol     10             13.49
Hembra  Globulol     1000           12.54
Hembra  Globulol     1000           12.73
Hembra  Globulol     1000           12.52
Hembra  Globulol     1000           13.07
Hembra  Globulol     1000           12.82
Hembra  Globulol     1000           13.07
Hembra  Globulol     1000           12.92
Hembra  Globulol     1000           12.67
Hembra  Globulol     1000           12.75
Hembra  Globulol     1000           13.13
Hembra  Dodecano     10             8.15
Hembra  Dodecano     10             8.04
Hembra  Dodecano     10             7.92
Hembra  Dodecano     10             7.91
Hembra  Dodecano     10             7.79
Hembra  Dodecano     10             7.7
Hembra  Dodecano     10             7.72
Hembra  Dodecano     10             8.04
Hembra  Dodecano     10             7.54
Hembra  Dodecano     10             7.68
Hembra  Dodecano     1000           9.18
Hembra  Dodecano     1000           9.03
Hembra  Dodecano     1000           9.35
Hembra  Dodecano     1000           8.94
Hembra  Dodecano     1000           9.09
Hembra  Dodecano     1000           9.3
Hembra  Dodecano     1000           9.01
Hembra  Dodecano     1000           9.34
Hembra  Dodecano     1000           9.67
Hembra  Dodecano     1000           9.24
Hembra  Nerolidol    10             10.19
Hembra  Nerolidol    10             10.84
Hembra  Nerolidol    10             10.63
Hembra  Nerolidol    10             9.74
Hembra  Nerolidol    10             10.42
Hembra  Nerolidol    10             10.57
Hembra  Nerolidol    10             10.92
Hembra  Nerolidol    10             10.63
Hembra  Nerolidol    10             10.82
Hembra  Nerolidol    10             10.8
Hembra  Nerolidol    1000           9.7
Hembra  Nerolidol    1000           10.75
Hembra  Nerolidol    1000           11.45
Hembra  Nerolidol    1000           11.62
Hembra  Nerolidol    1000           11.64
Hembra  Nerolidol    1000           10.71
Hembra  Nerolidol    1000           11.49
Hembra  Nerolidol    1000           11.43
Hembra  Nerolidol    1000           11.57
Hembra  Nerolidol    1000           11.64
Hembra  a-Terpineno  10             4.02
Hembra  a-Terpineno  10             4.38
Hembra  a-Terpineno  10             4.78
Hembra  a-Terpineno  10             3.95
Hembra  a-Terpineno  10             4.7
Hembra  a-Terpineno  10             5.37
Hembra  a-Terpineno  10             4.07
Hembra  a-Terpineno  10             4.86
Hembra  a-Terpineno  10             3.79
Hembra  a-Terpineno  10             4.13
Hembra  a-Terpineno  1000           4.25
Hembra  a-Terpineno  1000           4.72
Hembra  a-Terpineno  1000           4.59
Hembra  a-Terpineno  1000           4.89
Hembra  a-Terpineno  1000           5.37
Hembra  a-Terpineno  1000           5.29
Hembra  a-Terpineno  1000           5.73
Hembra  a-Terpineno  1000           5.79
Hembra  a-Terpineno  1000           5.64
Hembra  a-Terpineno  1000           5.8
Hembra  Ocimeno      10             5.776
Hembra  Ocimeno      10             6.04
Hembra  Ocimeno      10             5.31
Hembra  Ocimeno      10             5.69
Hembra  Ocimeno      10             6.042
Hembra  Ocimeno      10             5.73
Hembra  Ocimeno      10             5.92
Hembra  Ocimeno      10             6.08
Hembra  Ocimeno      10             5.75
Hembra  Ocimeno      10             6.18
Hembra  Ocimeno      1000           6.91
Hembra  Ocimeno      1000           6.9
Hembra  Ocimeno      1000           7.72
Hembra  Ocimeno      1000           8.1
Hembra  Ocimeno      1000           8.19
Hembra  Ocimeno      1000           7.92
Hembra  Ocimeno      1000           8.23
Hembra  Ocimeno      1000           7.83
Hembra  Ocimeno      1000           8.25
Hembra  Ocimeno      1000           7.75

Macho   a-Pineno     10             11.66
Macho   a-Pineno     10             11.7
Macho   a-Pineno     10             12.27
Macho   a-Pineno     10             12.71
Macho   a-Pineno     10             12.6
Macho   a-Pineno     10             12.34
Macho   a-Pineno     10             12.65
Macho   a-Pineno     10             13.22
Macho   a-Pineno     10             12.79
Macho   a-Pineno     10             13.74
Macho   a-Pineno     1000           12.23
Macho   a-Pineno     1000           12.16
Macho   a-Pineno     1000           12.58
Macho   a-Pineno     1000           12.8
Macho   a-Pineno     1000           14.04
Macho   a-Pineno     1000           12.56
Macho   a-Pineno     1000           12.63
Macho   a-Pineno     1000           12.77
Macho   a-Pineno     1000           13.16
Macho   a-Pineno     1000           12.42
Macho   D-limoneno   10             3.99
Macho   D-limoneno   10             3.98
Macho   D-limoneno   10             4.11
Macho   D-limoneno   10             4.19
Macho   D-limoneno   10             4.13
Macho   D-limoneno   10             4.28
Macho   D-limoneno   10             4.21
Macho   D-limoneno   10             4.3
Macho   D-limoneno   10             4.3
Macho   D-limoneno   10             4.44
Macho   D-limoneno   1000           7.78
Macho   D-limoneno   1000           6.89
Macho   D-limoneno   1000           5.96
Macho   D-limoneno   1000           5.35
Macho   D-limoneno   1000           5
Macho   D-limoneno   1000           6.05
Macho   D-limoneno   1000           6.4
Macho   D-limoneno   1000           6.66
Macho   D-limoneno   1000           6.11
Macho   D-limoneno   1000           7.44
Macho   Mirceno      10             3.86
Macho   Mirceno      10             3.98
Macho   Mirceno      10             3.52
Macho   Mirceno      10             4.09
Macho   Mirceno      10             3.14
Macho   Mirceno      10             3.14
Macho   Mirceno      10             3.88
Macho   Mirceno      10             3.98
Macho   Mirceno      10             3.66
Macho   Mirceno      10             4.33
Macho   Mirceno      1000           7.22
Macho   Mirceno      1000           6.8
Macho   Mirceno      1000           6.29
Macho   Mirceno      1000           6.86
Macho   Mirceno      1000           6.38
Macho   Mirceno      1000           6.42
Macho   Mirceno      1000           5.41
Macho   Mirceno      1000           6.82
Macho   Mirceno      1000           6.42
Macho   Mirceno      1000           6.74
Macho   Globulol     10             11.34
Macho   Globulol     10             11.43
Macho   Globulol     10             11.24
Macho   Globulol     10             11.2
Macho   Globulol     10             11.66
Macho   Globulol     10             11.58
Macho   Globulol     10             11.97
Macho   Globulol     10             12.21
Macho   Globulol     10             12.16
Macho   Globulol     10             12.34
Macho   Globulol     1000           13.13
Macho   Globulol     1000           12.88
Macho   Globulol     1000           13.22
Macho   Globulol     1000           13.34
Macho   Globulol     1000           12.6
Macho   Globulol     1000           13.4
Macho   Globulol     1000           13.57
Macho   Globulol     1000           14.18
Macho   Globulol     1000           14.2
Macho   Globulol     1000           14.46
Macho   Dodecano     10             14.98
Macho   Dodecano     10             15.85
Macho   Dodecano     10             15.99
Macho   Dodecano     10             16.18
Macho   Dodecano     10             16.33
Macho   Dodecano     10             15.55
Macho   Dodecano     10             15.8
Macho   Dodecano     10             14.14
Macho   Dodecano     10             15.84
Macho   Dodecano     10             16.14
Macho   Dodecano     1000           18.1
Macho   Dodecano     1000           15.66
Macho   Dodecano     1000           17.47
Macho   Dodecano     1000           17.28
Macho   Dodecano     1000           16.94
Macho   Dodecano     1000           16.56
Macho   Dodecano     1000           15.95
Macho   Dodecano     1000           16.5
Macho   Dodecano     1000           16.85
Macho   Dodecano     1000           16.86
Macho   Nerolidol    10             5.55
Macho   Nerolidol    10             6.61
Macho   Nerolidol    10             6.57
Macho   Nerolidol    10             6.69
Macho   Nerolidol    10             6.67
Macho   Nerolidol    10             6.69
Macho   Nerolidol    10             6.8
Macho   Nerolidol    10             6.55
Macho   Nerolidol    10             7.07
Macho   Nerolidol    10             6.99
Macho   Nerolidol    1000           17.2
Macho   Nerolidol    1000           17.06
Macho   Nerolidol    1000           13.59
Macho   Nerolidol    1000           14.31
Macho   Nerolidol    1000           17.88
Macho   Nerolidol    1000           17.78
Macho   Nerolidol    1000           17.23
Macho   Nerolidol    1000           18.14
Macho   Nerolidol    1000           17.57
Macho   Nerolidol    1000           17.76
Macho   a-Terpineno  10             2.85
Macho   a-Terpineno  10             2.93
Macho   a-Terpineno  10             3.05
Macho   a-Terpineno  10             3.08
Macho   a-Terpineno  10             3.14
Macho   a-Terpineno  10             3.1
Macho   a-Terpineno  10             3.14
Macho   a-Terpineno  10             3.16
Macho   a-Terpineno  10             3.22
Macho   a-Terpineno  10             3.16
Macho   a-Terpineno  1000           2.49
Macho   a-Terpineno  1000           2.57
Macho   a-Terpineno  1000           2.68
Macho   a-Terpineno  1000           2.72
Macho   a-Terpineno  1000           2.64
Macho   a-Terpineno  1000           2.78
